iso_week,week_start,commits,mise_commits,test_added,inline_snap,inline_snap_per_kloc,file_snap,snap_files_added,assert_calls,big_literal,assert2_calls,big_literal2,drill,drill_per_kloc,src_added,comment_lines,code_lines,comment_ratio,jsdoc_gt5,jsdoc_gt5_per_kloc,md_added,mise_md_added
2026-W26,2026-06-22,2,0,0,0,,0,0,0,0,0,0,0,,0,0,0,,0,,270,0
2026-W27,2026-06-29,1,0,13,0,0.0,0,0,0,0,0,0,0,0.0,3,0,3,0.0,0,0.0,0,0
2026-W28,2026-07-06,47,0,2547,88,34.6,0,0,0,0,0,0,11,4.3,5721,1049,4078,0.257,44,7.7,1625,0
2026-W29,2026-07-13,84,80,3968,164,41.3,0,0,0,0,0,0,10,2.5,6512,851,4913,0.173,27,4.1,304,1336
2026-W30,2026-07-20,67,60,6812,357,52.4,0,0,0,0,0,0,0,0.0,9775,1608,7134,0.225,62,6.3,846,3031
2026-W31,2026-07-27,93,86,313,4,12.8,0,0,0,0,0,0,0,0.0,773,148,539,0.275,4,5.2,4529,7832
2026-W32,2026-08-03,147,144,39361,987,25.1,0,0,125,0,58,0,70,1.8,22929,6074,14253,0.426,325,14.2,2808,7785
2026-W33,2026-08-10,122,122,17080,322,18.9,0,0,9,0,0,0,30,1.8,9903,4716,4678,1.008,412,41.6,712,4655
2026-W34,2026-08-17,21,14,14509,344,23.7,0,0,0,0,15,0,144,9.9,4099,829,2855,0.29,52,12.7,591,622
2026-W35,2026-08-24,6,5,1410,33,23.4,0,0,0,0,0,0,0,0.0,1042,146,776,0.188,6,5.8,135,0
2026-W36,2026-08-31,106,99,38393,868,22.6,0,0,1,0,2,1,121,3.2,11864,2951,7891,0.374,173,14.6,1518,5785
2026-W37,2026-09-07,197,194,62726,949,15.1,0,0,0,0,10,0,140,2.2,16185,1749,12454,0.14,61,3.8,489,4283
2026-W38,2026-09-14,107,101,58050,1241,21.4,0,0,1,0,15,2,4,0.1,20094,2922,14583,0.2,70,3.5,636,695
